id,상품명,포화지방(g),당류(g),나트륨(mg),단백질(g),카페인(mg),칼로리(kcal)
mg-127,얼그레이,0,0,2.1,0.3,87.2,1.3
mg-128,캐모마일,0,0,2.5,0.1,0,1.3
mg-129,페퍼민트,0,0,3,0.1,0,2.5
mg-130,복숭아아이스티,0,62.6,67.5,0.1,65.7,297.1
mg-131,유자차,0,47.9,104,0.3,0,286.4
mg-132,레몬차,0,56.1,94.2,0.3,0,275.5
mg-133,자몽차,0,58.1,84.2,0.4,0,294
mg-134,허니자몽블랙티,0,53.6,97.5,0.6,61.5,302.2
mg-135,유자차,0,59.4,99.1,0.3,0,303.1
mg-136,레몬차,0,68.9,101.3,0.3,0,327.5
mg-137,자몽차,0,58.5,89.1,0.4,0,297.6
mg-138,허니자몽블랙티,0,42.7,133,0.4,70.9,265.8
mg-139,유니콘프라페,11.1,42.3,141.2,7,0,474.5
